pc,poly,coef,|coef|,,pc,poly,coef,|coef|,,pc,poly,coef,|coef|,,pc,poly,coef,|coef|,,indx,,sort(|coef|),,sort(|coef|),,sort(|coef|)
0,0,883.00,883,,0,1,139.00,139,,0,2,-6.56,6.56,,0,3,0.04,0.0353,,0,,139,,29.1,,13.4
0,1,139.00,139,,1,1,14.00,14,,1,2,29.10,29.1,,1,3,13.40,13.4,,1,,32.6,,6.75,,5.14
0,2,-6.56,6.56,,2,1,30.70,30.7,,2,2,4.67,4.67,,2,3,-3.04,3.04,,2,,30.7,,6.56,,3.04
0,3,0.04,0.0353,,3,1,2.48,2.48,,3,2,-6.75,6.75,,3,3,1.22,1.22,,3,,14,,4.67,,1.22
1,1,14.00,14,,4,1,-32.60,32.6,,4,2,-3.79,3.79,,4,3,5.14,5.14,,4,,6.72,,3.79,,1.16
1,2,29.10,29.1,,5,1,-0.21,0.207,,5,2,-0.16,0.163,,5,3,-0.02,0.0222,,5,,6.25,,1.86,,0.451
1,3,13.40,13.4,,6,1,4.05,4.05,,6,2,0.63,0.63,,6,3,-0.45,0.447,,6,,4.08,,1.55,,0.447
2,1,30.70,30.7,,7,1,-4.08,4.08,,7,2,-1.86,1.86,,7,3,-0.05,0.0483,,7,,4.05,,1.39,,0.369
2,2,4.67,4.67,,8,1,-0.99,0.99,,8,2,-0.05,0.0523,,8,3,0.04,0.0366,,8,,4.01,,1.2,,0.251
2,3,-3.04,3.04,,9,1,-1.18,1.18,,9,2,-0.22,0.218,,9,3,-0.14,0.135,,9,,3.77,,0.713,,0.234
3,1,2.48,2.48,,10,1,1.00,0.999,,10,2,-0.22,0.219,,10,3,0.13,0.128,,10,,3.32,,0.63,,0.151
3,2,-6.75,6.75,,11,1,-0.93,0.93,,11,2,0.08,0.0802,,11,3,0.05,0.0511,,11,,2.48,,0.219,,0.135
3,3,1.22,1.22,,12,1,3.32,3.32,,12,2,-0.06,0.0568,,12,3,-0.23,0.234,,12,,1.23,,0.218,,0.128
4,1,-32.60,32.6,,13,1,4.01,4.01,,13,2,0.20,0.198,,13,3,-0.25,0.251,,13,,1.2,,0.198,,0.105
4,2,-3.79,3.79,,14,1,-6.72,6.72,,14,2,-0.06,0.0589,,14,3,0.11,0.105,,14,,1.18,,0.163,,0.089
4,3,5.14,5.14,,15,1,-6.25,6.25,,15,2,1.55,1.55,,15,3,0.37,0.369,,15,,0.999,,0.0802,,0.0511
5,1,-0.21,0.207,,16,1,-3.77,3.77,,16,2,1.39,1.39,,16,3,1.16,1.16,,16,,0.99,,0.0796,,0.0483
5,2,-0.16,0.163,,17,1,-1.20,1.2,,17,1,-1.20,1.2,,17,3,0.09,0.089,,17,,0.93,,0.0589,,0.0366
5,3,-0.02,0.0222,,18,1,0.29,0.29,,18,2,-0.71,0.713,,18,3,0.15,0.151,,18,,0.29,,0.0568,,0.0353
6,1,4.05,4.05,,19,1,-1.23,1.23,,19,2,-0.08,0.0796,,19,3,0.45,0.451,,19,,0.207,,0.0523,,0.0222
6,2,0.63,0.63,,,,,,,,,,,,,,,,,,,,,,,
6,3,-0.45,0.447,,,,,,,,,,,,,,,,,,,,,,,
7,1,-4.08,4.08,,,,,,,,,,,,,,,,,,,,,,,
7,2,-1.86,1.86,,,,,,,,,,,,,,,,,,,,,,,
7,3,-0.05,0.0483,,,,,,,,,,,,,,,,,,,,,,,
8,1,-0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,
8,2,-0.05,0.0523,,,,,,,,,,,,,,,,,,,,,,,
8,3,0.04,0.0366,,,,,,,,,,,,,,,,,,,,,,,
9,1,-1.18,1.18,,,,,,,,,,,,,,,,,,,,,,,
9,2,-0.22,0.218,,,,"NOTE: all for n_pc = 20, n_poly=4",,,,,,,,,,,,,,,,,,,
9,3,-0.14,0.135,,,,,,,,,,,,,,,,,,,,,,,
10,1,1.00,0.999,,,,,,,,,,,,,,,,,,,,,,,
10,2,-0.22,0.219,,,,,,,,,,,,,,,,,,,,,,,
10,3,0.13,0.128,,,,,,,,,,,,,,,,,,,,,,,
11,1,-0.93,0.93,,,,,,,,,,,,,,,,,,,,,,,
11,2,0.08,0.0802,,,,,,,,,,,,,,,,,,,,,,,
11,3,0.05,0.0511,,,,,,,,,,,,,,,,,,,,,,,
12,1,3.32,3.32,,,,,,,,,,,,,,,,,,,,,,,
12,2,-0.06,0.0568,,,,,,,,,,,,,,,,,,,,,,,
12,3,-0.23,0.234,,,,,,,,,,,,,,,,,,,,,,,
13,1,4.01,4.01,,,,,,,,,,,,,,,,,,,,,,,
13,2,0.20,0.198,,,,,,,,,,,,,,,,,,,,,,,
