68
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,-0.00411321,0.555206,-0.212998,-0.803966,4.97878,1.17726,1.82237,6,1,1,6.528
2,0.40965,-0.00321335,0.179409,-0.894421,2.93579,0.844169,2.95148,11,1,1,17.6
3,-0.202523,-0.489116,-0.116722,-0.840313,1.31625,1.11575,5.24298,13,1,1,9.984
4,0.794039,-0.386689,0.183729,-0.431528,3.96431,1.25259,1.02731,1,1,0,0.064
5,-0.281439,0.479233,-0.199268,-0.807106,5.48545,1.17856,1.28184,11,1,1,8.448
6,0.293493,0.306993,0.224198,-0.877128,3.69922,0.877294,2.08347,8,1,1,6.4
7,-0.0411271,0.366484,-0.203628,-0.906936,5.045,0.755401,1.6799,7,1,1,9.216
8,-0.131031,-0.699298,-4.64703e-05,-0.702718,1.38564,1.58317,4.89768,7,1,1,14.016
9,-0.104373,-0.978328,0.177561,-0.021284,4.56783,1.50306,1.20735,16,1,0,12.992
10,0.396737,0.512708,0.132594,-0.749766,3.87879,1.41065,2.05432,8,1,1,10.88
11,0.76728,-0.371713,-0.312057,0.419203,3.12805,1.12102,2.83452,13,1,0,6.464
12,-0.0836454,-0.0868741,0.0529586,-0.991288,0.750957,0.241783,5.42548,5,1,1,3.648
13,-0.237502,0.630109,-0.0319645,-0.738603,5.11609,1.47755,1.25359,10,1,1,10.112
14,-0.204475,-0.41206,-0.0754341,-0.884707,1.19523,0.955998,5.25807,10,1,1,8.32
15,-0.33017,0.120559,-0.118941,-0.928604,6.06048,0.71833,0.477493,6,1,1,5.376
16,0.0408209,-0.452767,-0.1178,-0.882869,0.131276,1.79228,5.40769,16,1,0,13.632
17,-0.358727,-0.52122,0.091837,-0.768902,0.849127,1.37016,5.19631,6,1,1,6.016
18,0.364948,-0.368177,-0.116895,-0.847109,2.48892,1.08996,4.06852,4,1,1,2.752
19,0.222909,0.819439,0.285314,-0.444328,1.66977,1.4826,4.8115,11,1,0,7.936
20,-4.9515e-05,-0.0868709,0.0963223,-0.991552,1.47339,0.173961,4.61612,10,1,1,8.448
21,-0.0247594,0.378277,0.669215,-0.639096,5.46847,1.51009,1.24129,12,1,0,6.016
22,0.445106,-0.245985,-0.200605,-0.837335,2.87187,1.06701,3.88161,8,1,1,5.76
23,-0.441143,0.397851,-0.115582,-0.796083,5.69352,1.27216,0.878024,6,1,1,10.624
24,0.525292,0.158473,0.0931215,-0.830832,3.32298,1.16156,2.73697,7,1,1,6.784
25,0.688403,-0.0962084,-0.178074,0.696517,5.89403,1.5371,6.17174,9,1,1,9.152
26,0.323425,-0.447947,0.00928672,-0.833459,2.185,1.17073,4.0759,7,1,1,11.264
27,0.846282,0.532735,-3.41019e-08,-2.7345e-08,4.27526,1.88302,0.143596,16,1,0,9.792
28,-0.246669,-0.332051,-0.0331985,-0.909832,0.96835,0.852912,5.38778,11,1,1,10.624
29,-0.482669,-0.284684,0.176119,-0.809301,0.318616,1.18966,5.53601,9,1,1,6.144
30,-0.163207,-0.411097,-0.202197,-0.873773,1.42028,0.916343,5.31771,15,1,1,12.544
31,-0.0801608,-0.603992,0.0507528,-0.791323,1.3748,1.31033,4.78029,14,1,1,13.12
32,0.193387,-0.496001,0.196826,-0.823313,1.7079,1.12279,4.10597,10,1,1,9.088
33,0.802493,0.543991,0.142037,0.199762,1.21381,2.64632,0.0223684,6,1,1,8.448
34,0.668822,0.464186,0.471137,0.339468,1.55314,1.90242,0.339714,13,1,1,15.168
35,-0.835836,-0.513507,0.0437568,-0.189141,0.323568,2.75084,5.50493,9,1,1,9.216
36,0.687703,0.475467,-0.144563,-0.529242,4.01316,1.98014,2.80332,4,1,1,5.056
37,0.770398,0.625579,-0.110395,0.054332,5.85177,2.89489,4.48772,8,1,1,10.368
38,0.581083,0.45949,-0.63782,-0.210707,5.0624,1.66853,3.72425,8,1,1,9.6
39,0.701912,0.583049,0.261625,0.314524,1.387,2.29863,0.000682831,7,1,1,9.792
40,0.677743,0.518507,0.505912,0.125967,1.97983,2.04471,0.673704,4,1,1,3.712
