64
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,-0.000627382,0.636275,-0.198201,-0.745568,4.9732,1.37932,1.82964,14,1,1,15.168
2,0.0806268,-0.333535,0.208861,-0.915768,1.58374,0.70052,4.25097,11,1,1,7.68
3,0.340565,-0.159304,0.520635,0.766536,0.159103,0.770912,1.03416,8,1,0,3.84
4,0.253891,-0.293222,-0.227039,-0.893316,2.53331,0.79663,4.24764,7,1,1,7.808
5,-0.671959,0.153611,-0.0453101,-0.723064,6.12103,1.52103,0.287321,6,1,1,3.648
6,0.601142,0.0441413,-0.161375,0.781433,6.15283,1.29391,6.00624,14,1,1,11.456
7,-0.517566,0.392735,0.119077,-0.750803,5.47678,1.41439,0.491827,11,1,1,8.576
8,0.0400239,-0.171278,-0.0479503,-0.983241,1.84908,0.353624,4.53156,11,1,1,8.128
9,-0.322788,0.477528,0.162086,-0.800939,5.10712,1.22861,0.776717,7,1,1,11.456
10,0.488976,-0.0769786,-0.163969,0.853282,5.93719,1.03567,6.24948,7,1,1,8.064
11,-0.00169851,0.244938,0.124652,-0.961491,4.5904,0.494924,1.43494,7,1,1,9.216
12,0.340565,-0.159304,0.520635,0.766536,3.13939,1.45363,0.785105,1,1,0,0.064
13,-0.084566,-0.170071,0.253273,-0.948566,0.848441,0.382194,4.91291,11,1,1,10.944
14,0.314897,-0.597597,-0.00441991,-0.737359,2.06176,1.48325,4.23342,7,1,1,4.992
15,-0.0424429,0.485053,-0.0468541,-0.872197,4.85334,1.01709,1.53719,8,1,1,10.368
16,-0.198344,-0.685631,0.0374848,-0.699403,1.23565,1.58966,4.94044,8,1,1,3.008
17,0.0386692,-0.568654,-0.0463274,-0.82036,1.6951,1.21293,4.7009,5,1,1,4.416
18,0.473871,-0.440005,-0.168843,-0.743865,2.61643,1.40637,4.11315,8,1,1,10.944
19,0.502426,0.226949,0.496419,-0.670545,6.17378,1.23962,5.21621,15,1,0,11.2
20,0.120512,0.484455,-0.00454986,-0.866464,4.47383,1.04539,1.81986,6,1,1,5.44
21,0.365196,-0.248832,-0.215978,-0.870671,2.78663,0.915457,3.98285,9,1,1,6.912
22,0.519583,0.236377,0.203478,-0.79546,3.31811,1.21502,2.46421,6,1,1,7.232
23,0.0449997,-0.694099,-0.158249,-0.700827,1.85762,1.53839,4.86973,13,1,1,11.136
24,0.447785,0.118312,-0.0893357,-0.881765,3.50088,0.963096,2.98425,9,1,1,8.896
25,0.565112,-0.0762923,-0.120756,0.812555,6.00146,1.21359,6.26984,7,1,1,5.888
26,0.254875,0.613667,0.690767,-0.285118,4.06814,0.696484,4.57391,11,1,0,7.744
